ilan_id,ilan_linki,ilan_tarihi,ilan_tipi,metrekare,bina_yasi,kat,konum,fiyat,para_birimi,il,ilce,skor,kademe,fiyat_per_m2,banyo_sayisi,kat_sayisi,isinma_tipi,cephe,kullanim_durumu,oda_sayisi_yeni,salon_sayisi,kat_sayisi_encoded,cephe_kuzey,cephe_guney,cephe_dogu,cephe_bati
0-41115673,https://www.hepsiemlak.com/ankara-bala-ismetpasa-satilik/daire/0-41115673,15-02-2025,Daire,110.0,10.0,1. Kat,Ankara / Bala / İsmetpaşa Mah.,515000,TL,Ankara,Bala,-0.611,5. Kademe,4681.82,1.0,1.0,Soba,"Güney, Doğu, Batı",Boş,2,1,1.0,0,1,1,1
0-39447896,https://www.hepsiemlak.com/artvin-arhavi-asagi-hacilar-satilik/daire/0-39447896,19-03-2025,Daire,100.0,28.0,En Üst Kat,Artvin / Arhavi / Aşağı Hacılar Mah.,520000,TL,Artvin,Arhavi,0.222,3. Kademe,5200.0,1.0,5.0,Soba,Kuzey,Boş,2,1,5.0,1,0,0,0
151728-48,https://www.hepsiemlak.com/erzurum-yakutiye-kurtulus-satilik/daire/151728-48,14-04-2025,Daire,55.0,5.0,4. Kat,Erzurum / Yakutiye / Kurtuluş Mah.,600000,TL,Erzurum,Yakutiye,1.688,1. Kademe,10909.09,1.0,4.0,Kombi,"Kuzey, Doğu",Mülk Sahibi,1,1,4.0,1,0,1,0
0-43973900,https://www.hepsiemlak.com/diyarbakir-yenisehir-kooperatifler-satilik/daire/0-43973900,11-04-2025,Daire,78.0,25.0,3. Kat,Diyarbakır / Yenişehir / Kooperatifler Mah.,620000,TL,Diyarbakır,Yenişehir,0.466,2. Kademe,7948.72,1.0,7.0,Klima,Kuzey,Boş,1,1,3.0,1,0,0,0
93711-432,https://www.hepsiemlak.com/hatay-hassa-girne-satilik/daire/93711-432,25-04-2025,Daire,45.0,12.0,Giriş Katı,Hatay / Hassa / Girne Mah.,625000,TL,Hatay,Hassa,-0.627,5. Kademe,13888.89,1.0,4.0,Kombi,Güney,Kiracılı,1,1,0.0,0,1,0,0
147761-46,https://www.hepsiemlak.com/hatay-reyhanli-cumhuriyet-satilik/daire/147761-46,09-04-2025,Daire,60.0,5.0,2. Kat,Hatay / Reyhanlı / Cumhuriyet Mah.,650000,TL,Hatay,Reyhanlı,-0.54,5. Kademe,10833.33,1.0,5.0,Klima,Doğu,Boş,1,1,2.0,0,0,1,0
117396-597,https://www.hepsiemlak.com/isparta-merkez-fatih-satilik/daire/117396-597,24-04-2025,Daire,35.0,9.0,Bahçe Katı,Isparta / Merkez / Fatih Mah.,655000,TL,Isparta,Merkez,1.551,2. Kademe,18714.29,1.0,4.0,Merkezi,"Kuzey, Güney, Doğu",Boş,1,1,0.0,1,1,1,0
131901-693,https://www.hepsiemlak.com/kirikkale-merkez-ovacik-satilik/daire/131901-693,24-04-2025,Daire,90.0,35.0,Bahçe Katı,Kırıkkale / Merkez / Ovacık Mah.,675000,TL,Kırıkkale,Merkez,0.726,2. Kademe,7500.0,1.0,5.0,Kombi,"Kuzey, Doğu",Boş,2,1,0.0,1,0,1,0
138452-92,https://www.hepsiemlak.com/elazig-merkez-rustem-pasa-satilik/daire/138452-92,19-04-2025,Daire,120.0,25.0,Bodrum ve Zemin,Elazığ / Merkez / Rüstem Paşa Mah.,700000,TL,Elazığ,Merkez,1.135,2. Kademe,5833.33,1.0,5.0,Kombi,"Güney, Batı",Boş,3,1,0.0,0,1,0,1
155806-19,https://www.hepsiemlak.com/hatay-antakya-zulufluhan-satilik/daire/155806-19,15-04-2025,Daire,56.0,10.0,3. Kat,Hatay / Antakya / Zülüflühan Mah.,710000,TL,Hatay,Antakya,1.146,2. Kademe,12678.57,1.0,4.0,Klima,"Güney, Batı",Boş,1,1,3.0,0,1,0,1
155806-12,https://www.hepsiemlak.com/hatay-antakya-zulufluhan-satilik/daire/155806-12,17-03-2025,Daire,45.0,10.0,3. Kat,Hatay / Antakya / Zülüflühan Mah.,710000,TL,Hatay,Antakya,1.146,2. Kademe,15777.78,1.0,4.0,Klima,Güney,Kiracılı,1,1,3.0,0,1,0,0
129046-211,https://www.hepsiemlak.com/karabuk-merkez-kilavuzlar-satilik/daire/129046-211,25-04-2025,Daire,60.0,5.0,Giriş Katı,Karabük / Merkez / Kılavuzlar Mah.,725000,TL,Karabük,Merkez,0.962,2. Kademe,12083.33,1.0,4.0,Kombi,Doğu,Boş,2,0,0.0,0,0,1,0
110460-338,https://www.hepsiemlak.com/isparta-merkez-yedisehitler-satilik/daire/110460-338,17-04-2025,Daire,30.0,11.0,2. Kat,Isparta / Merkez / Yedişehitler Mah.,725000,TL,Isparta,Merkez,1.551,2. Kademe,24166.67,1.0,3.0,Merkezi,Batı,Boş,1,0,2.0,0,0,0,1
52164-382,https://www.hepsiemlak.com/kayseri-melikgazi-yesilyurt-satilik/daire/52164-382,25-04-2025,Daire,90.0,35.0,Ara Kat,Kayseri / Melikgazi / Yeşilyurt Mah.,725000,TL,Kayseri,Melikgazi,1.983,1. Kademe,8055.56,1.0,9.0,Soba,Batı,Boş,2,1,4.0,0,0,0,1
100155-163,https://www.hepsiemlak.com/karabuk-merkez-karabuk-satilik/daire/100155-163,23-04-2025,Daire,60.0,35.0,Zemin,Karabük / Merkez / Karabük Mah.,725000,TL,Karabük,Merkez,0.962,2. Kademe,12083.33,1.0,2.0,Kombi,Güney,Boş,2,0,0.0,0,1,0,0
110460-337,https://www.hepsiemlak.com/isparta-merkez-yedisehitler-satilik/daire/110460-337,27-03-2025,Daire,30.0,14.0,2. Kat,Isparta / Merkez / Yedişehitler Mah.,725000,TL,Isparta,Merkez,1.551,2. Kademe,24166.67,1.0,3.0,Merkezi,Batı,Boş,1,0,2.0,0,0,0,1
137730-133,https://www.hepsiemlak.com/samsun-ilkadim-karadeniz-satilik/daire/137730-133,06-02-2025,Daire,67.0,20.0,Bahçe Katı,Samsun / İlkadım / Karadeniz Mah.,750000,TL,Samsun,İlkadım,1.343,2. Kademe,11194.03,1.0,4.0,Kombi,Güney,Boş,2,1,0.0,0,1,0,0
133869-96,https://www.hepsiemlak.com/tokat-turhal-pazar-satilik/daire/133869-96,13-04-2025,Daire,145.0,31.0,4. Kat,Tokat / Turhal / Pazar Mah.,750000,TL,Tokat,Turhal,0.037,3. Kademe,5172.41,1.0,4.0,Soba,Batı,Boş,4,1,4.0,0,0,0,1
