ilan_id,oda_sayisi,banyo_sayisi,kat_sayisi,isinma_tipi,cephe,kullanim_durumu
0-41115673,2 + 1,1.0,1 Katlı,Soba,"Güney, Doğu, Batı",Boş
0-39447896,2 + 1,1.0,5 Katlı,Soba,Kuzey,Boş
147535-179,2 + 1,1.0,2 Katlı,Soba,"Doğu, Batı",
151728-48,1 + 1,1.0,4 Katlı,Kombi,"Kuzey, Doğu",Mülk Sahibi
0-43973900,1 + 1,1.0,7 Katlı,Klima,Kuzey,Boş
152541-12,3 + 1,1.0,3 Katlı,Soba,"Kuzey, Güney, Doğu",Boş
93711-432,1 + 1,1.0,4 Katlı,Kombi,Güney,Kiracılı
147761-46,1 + 1,1.0,5 Katlı,Klima,Doğu,Boş
117396-597,1 + 1,1.0,4 Katlı,Merkezi,"Kuzey, Güney, Doğu",Boş
123865-570,2 + 1,1.0,3 Katlı,Kombi,"Doğu, Batı",Mülk Sahibi
131901-693,2 + 1,1.0,5 Katlı,Kombi,"Kuzey, Doğu",Boş
132456-733,2 + 1,1.0,5 Katlı,Belirtilmemiş,"Kuzey, Güney, Doğu, Batı",Boş
138452-92,3 + 1,1.0,5 Katlı,Kombi,"Güney, Batı",Boş
155806-19,1 + 1,1.0,4 Katlı,Klima,"Güney, Batı",Boş
155806-12,1 + 1,1.0,4 Katlı,Klima,Güney,Kiracılı
129046-211,2 + 0,1.0,4 Katlı,Kombi,Doğu,Boş
0-44462218,3 + 1,1.0,3 Katlı,Kombi,"Doğu, Batı",Boş
110460-338,1 + 0,1.0,3 Katlı,Merkezi,Batı,Boş
52164-382,2 + 1,1.0,9 Katlı,Soba,Batı,Boş
100155-163,2 + 0,1.0,2 Katlı,Kombi,Güney,Boş
110460-337,1 + 0,1.0,3 Katlı,Merkezi,Batı,Boş
78539-979,3 + 1,1.0,6 Katlı,Soba,"Kuzey, Doğu",Boş
42634-2293,1 + 0,1.0,4 Katlı,Klima,"Kuzey, Güney, Doğu, Batı",Boş
137730-133,2 + 1,1.0,4 Katlı,Kombi,Güney,Boş
133869-96,4 + 1,1.0,4 Katlı,Soba,Batı,Boş
128844-750,1 + 1,1.0,4 Katlı,Kombi,Batı,Boş
116023-438,2 + 0,1.0,4 Katlı,Kombi,"Güney, Doğu, Batı",Boş
138452-88,2 + 1,1.0,5 Katlı,Kombi,Güney,Boş
112940-103,1 + 1,1.0,2 Katlı,Klima,Kuzey,Mülk Sahibi
93711-192,1 + 1,1.0,6 Katlı,Doğalgaz Sobası,Güney,Belirtilmemiş
133699-547,2 + 0,1.0,5 Katlı,Kombi,"Kuzey, Güney, Doğu",Boş
155459-2,1 + 1,1.0,4 Katlı,Kombi,Güney,Boş
129829-301,1 + 1,1.0,2 Katlı,Kombi,"Kuzey, Güney, Doğu, Batı",Kiracılı
136424-477,3 + 1,1.0,9 Katlı,Isıtma Yok,Kuzey,Boş
133058-305,1 + 0,1.0,7 Katlı,Kombi,Güney,Kiracılı
131719-70,2 + 1,1.0,3 Katlı,Klima,"Kuzey, Güney, Doğu, Batı",Kiracılı
140476-246,2 + 1,1.0,6 Katlı,Soba,"Kuzey, Doğu",Boş
141598-340,2 + 1,1.0,3 Katlı,Soba,"Güney, Doğu, Batı",Boş
47825-796,3 + 1,1.0,4 Katlı,Kombi,Güney,Boş
92348-1184,1 + 1,1.0,4 Katlı,Soba,Güney,Boş
142780-182,2 + 0,1.0,5 Katlı,Kombi,"Kuzey, Güney, Doğu, Batı",Boş
60929-951,1 + 1,1.0,4 Katlı,Kombi,Güney,Kiracılı
152916-27,3 + 1,1.0,4 Katlı,Soba,"Kuzey, Güney, Batı",Boş
120617-405,2 + 0,1.0,5 Katlı,Merkezi,Kuzey,Kiracılı
120617-436,2 + 0,1.0,5 Katlı,Kombi,Güney,
148382-39,4 + 1,1.0,5 Katlı,Kombi,"Kuzey, Güney, Doğu, Batı",Boş
92198-1828,2 + 1,1.0,4 Katlı,Kombi,"Kuzey, Güney, Doğu, Batı",Boş
76398-189,3 + 1,1.0,3 Katlı,Kombi,"Kuzey, Doğu, Batı",Kiracılı
126150-759,2 + 1,1.0,4 Katlı,Kombi,"Güney, Batı",Boş
156821-4,2 + 1,1.0,4 Katlı,Kombi,Güney,
128844-753,1 + 1,1.0,4 Katlı,Kombi,Batı,Kiracılı
121490-337,1 + 0,1.0,15 Katlı,Kombi,Güney,Boş
121490-339,2 + 1,1.0,6 Katlı,Kombi,Güney,Boş
92198-1854,2 + 1,1.0,4 Katlı,Kombi,"Kuzey, Güney, Doğu, Batı",Boş
99212-2954,3 + 1,1.0,4 Katlı,Soba,"Kuzey, Güney",Boş
117916-1848,3 + 1,1.0,3 Katlı,Soba,"Kuzey, Batı",Mülk Sahibi
71424-2633,1 + 1,1.0,5 Katlı,Merkezi (Pay Ölçer),"Güney, Batı",Boş
142465-711,1 + 1,1.0,4 Katlı,Kombi,"Güney, Batı",Kiracılı
129755-565,1 + 1,1.0,4 Katlı,Kombi,"Güney, Doğu",Boş
0-44528101,2 + 1,1.0,3 Katlı,Soba,"Güney, Batı",Kiracılı
131847-549,1 + 1,1.0,3 Katlı,Kombi,"Güney, Doğu",Boş
139234-153,1 + 1,1.0,5 Katlı,Kombi,"Güney, Doğu",Mülk Sahibi
148156-41,1 + 1,1.0,5 Katlı,Isıtma Yok,"Kuzey, Doğu",Boş
148948-98,2 + 1,1.0,4 Katlı,Kombi,"Kuzey, Güney, Doğu, Batı",Mülk Sahibi
115132-186,2 + 1,1.0,5 Katlı,Kombi,Doğu,Kiracılı
121490-345,2 + 1,1.0,6 Katlı,Kombi,Güney,Boş
151279-214,1 + 1,1.0,4 Katlı,Klima,"Kuzey, Güney, Doğu, Batı",Boş
151565-141,2 + 1,1.0,3 Katlı,Kat Kaloriferi,"Güney, Doğu",Boş
0-44165551,3 + 1,1.0,3 Katlı,Soba,Güney,Kiracılı
0-44437283,1 + 1,1.0,5 Katlı,Kombi,Kuzey,Mülk Sahibi
142780-273,2 + 1,1.0,5 Katlı,Kombi,"Kuzey, Güney, Doğu, Batı",Boş
132237-952,1 + 1,1.0,3 Katlı,Merkezi,"Güney, Batı",Mülk Sahibi
142202-106,2 + 1,1.0,2 Katlı,Kat Kaloriferi,Kuzey,Mülk Sahibi
124546-798,2 + 1,1.0,3 Katlı,Kombi,Batı,Kiracılı
155865-9,1 + 1,1.0,4 Katlı,Kombi,Güney,Boş
111753-2346,2 + 1,1.0,5 Katlı,Kombi,"Güney, Doğu",Boş
132376-116,1 + 0,1.0,3 Katlı,Kombi,Güney,Boş
151279-151,1 + 1,1.0,3 Katlı,Klima,"Güney, Doğu",Boş
150941-289,1 + 1,1.0,4 Katlı,Merkezi,Doğu,Boş
0-44488134,1 + 1,1.0,5 Katlı,Kombi,"Kuzey, Güney, Batı",Boş
0-44272108,2 + 1,1.0,4 Katlı,Kombi,"Güney, Batı",Boş
4310-3083,1 + 1,1.0,3 Katlı,Klima,"Kuzey, Güney, Doğu, Batı",Boş
142108-67,1 + 0,1.0,12 Katlı,Merkezi,Güney,Boş
111753-2330,2 + 1,1.0,5 Katlı,Kombi,"Güney, Doğu",Boş
92943-145,1 + 1,1.0,4 Katlı,Kombi,Güney,Kiracılı
90372-568,3 + 1,1.0,3 Katlı,Kombi,"Doğu, Batı",Kiracılı
114752-1182,1 + 0,1.0,3 Katlı,Yerden Isıtma,"Kuzey, Güney, Doğu, Batı",Kiracılı
140021-198,2 + 1,1.0,5 Katlı,Kombi,Güney,Boş
132292-935,1 + 0,1.0,15 Katlı,Kombi,Güney,Boş
138227-356,1 + 1,1.0,6 Katlı,Merkezi,Kuzey,Boş
153865-57,1 + 1,1.0,4 Katlı,Klima,Batı,Boş
104770-7204,1 + 1,1.0,6 Katlı,Kombi,"Güney, Doğu",Boş
90607-2876,1 + 1,1.0,5 Katlı,Kombi,"Güney, Doğu, Batı",Mülk Sahibi
111966-3103,3 + 1,1.0,4 Katlı,Kombi,Kuzey,Mülk Sahibi
148304-19,2 + 1,1.0,6 Katlı,Kombi,"Güney, Doğu",Boş
131847-550,2 + 1,1.0,3 Katlı,Kombi,"Güney, Doğu",Boş
147656-5,2 + 1,1.0,3 Katlı,Soba,Güney,Mülk Sahibi
146600-87,2 + 1,1.0,5 Katlı,Kombi,"Kuzey, Güney, Doğu, Batı",Boş
71424-2654,1 + 1,1.0,5 Katlı,Kombi,Güney,Boş
152464-12,1 + 1,1.0,4 Katlı,Kombi,Güney,Kiracılı
155303-26,1 + 1,1.0,3 Katlı,Kombi,Doğu,Kiracılı
144505-87,1 + 1,1.0,3 Katlı,Yerden Isıtma,"Güney, Doğu",Boş
7767-4339,1 + 1,1.0,4 Katlı,Soba,Güney,Kiracılı
104770-7207,1 + 1,1.0,7 Katlı,Kombi,"Güney, Doğu",Boş
73297-6206,1 + 1,1.0,2 Katlı,Soba,Güney,Boş
130012-323,2 + 1,1.0,4 Katlı,Kombi,"Güney, Doğu",Kiracılı
121128-3195,1 + 1,1.0,4 Katlı,Kombi,"Kuzey, Batı",Kiracılı
122925-704,2 + 1,1.0,3 Katlı,Soba,Kuzey,Kiracılı
93859-68,1 + 1,1.0,6 Katlı,Soba,"Kuzey, Güney",Boş
149243-51,2 + 1,2.0,5 Katlı,Kombi,Batı,Kiracılı
128752-1251,1 + 0,1.0,6 Katlı,Kombi,"Güney, Batı",Belirtilmemiş
0-43470935,1 + 1,1.0,6 Katlı,Kombi,Güney,Kiracılı
85708-3518,2 + 1,1.0,4 Katlı,Isıtma Yok,Güney,Boş
104770-7197,2 + 1,1.0,8 Katlı,Kombi,"Güney, Doğu",Boş
154060-19,1 + 1,1.0,3 Katlı,Kombi,"Güney, Doğu",Kiracılı
153865-73,1 + 1,1.0,3 Katlı,Klima,Güney,Mülk Sahibi
133699-512,2 + 1,1.0,7 Katlı,Kombi,"Kuzey, Batı",Boş
128229-204,3 + 1,1.0,3 Katlı,Soba,"Güney, Doğu",Boş
133917-418,1 + 0,1.0,20 Katlı,Kombi,"Güney, Doğu, Batı",Boş
130012-265,1 + 1,1.0,5 Katlı,Kombi,"Güney, Doğu",Boş
128355-1865,1 + 1,1.0,4 Katlı,Kombi,"Güney, Batı",Mülk Sahibi
37307-476,2 + 1,2.0,4 Katlı,Kombi,"Kuzey, Güney",Boş
143827-95,2 + 1,1.0,5 Katlı,Kombi,Güney,Boş
128355-2001,1 + 1,1.0,2 Katlı,Kombi,"Güney, Batı",Boş
143836-159,1 + 1,1.0,7 Katlı,Isı Pompası,Kuzey,Boş
135979-666,1 + 1,1.0,3 Katlı,Klima,"Güney, Doğu, Batı",Mülk Sahibi
111035-2123,1 + 1,1.0,4 Katlı,Kombi,Doğu,Mülk Sahibi
148290-451,1 + 1,1.0,3 Katlı,Klima,Batı,Boş
110854-825,1 + 1,1.0,6 Katlı,Soba,Kuzey,Boş
81452-470,3 + 1,2.0,8 Katlı,Klima,"Güney, Doğu",Kiracılı
79706-1535,3 + 0,1.0,3 Katlı,Soba,"Güney, Batı",Boş
131887-302,3 + 1,1.0,6 Katlı,Kombi,"Kuzey, Doğu",Kiracılı
128752-1497,1 + 0,1.0,5 Katlı,Kombi,Güney,Boş
123073-394,1 + 1,1.0,8 Katlı,Belirtilmemiş,Güney,Boş
128129-372,1 + 1,1.0,3 Katlı,Kombi,Güney,Boş
139313-201,2 + 1,1.0,5 Katlı,Kombi,"Güney, Doğu, Batı",Boş
99154-170,2 + 1,1.0,4 Katlı,Merkezi (Pay Ölçer),"Kuzey, Batı",Boş
147767-47,2 + 1,1.0,4 Katlı,Kombi,"Kuzey, Güney",Mülk Sahibi
152464-18,1 + 1,1.0,5 Katlı,Kombi,Güney,Kiracılı
129059-1230,2 + 0,1.0,5 Katlı,Kombi,"Kuzey, Güney",Boş
133958-1117,1 + 0,1.0,7 Katlı,Kombi,"Doğu, Batı",
153865-56,1 + 1,1.0,3 Katlı,Klima,"Kuzey, Doğu",Boş
133699-558,2 + 1,1.0,5 Katlı,Kombi,"Güney, Doğu, Batı",Boş
138321-599,2 + 1,1.0,5 Katlı,Kombi,Güney,Boş
0-43823194,1 + 1,1.0,4 Katlı,Klima,"Güney, Doğu",Mülk Sahibi
104770-7257,1 + 1,1.0,6 Katlı,Kombi,"Güney, Doğu",Boş
30414-4278,1 + 1,1.0,3 Katlı,Kombi,Kuzey,Boş
144655-249,1 + 1,1.0,4 Katlı,Kombi,Batı,Kiracılı
123865-572,2 + 1,1.0,4 Katlı,Kombi,Batı,Mülk Sahibi
4616-1062,1 + 1,1.0,14 Katlı,Merkezi (Pay Ölçer),Doğu,Boş
49875-946,2 + 1,1.0,5 Katlı,Soba,"Güney, Doğu",Boş
37307-613,2 + 1,2.0,4 Katlı,Kombi,"Güney, Doğu",Boş
128097-669,1 + 1,1.0,3 Katlı,Kombi,"Kuzey, Batı",Boş
125511-462,1 + 1,1.0,4 Katlı,Kombi,"Doğu, Batı",Boş
111966-3108,3 + 1,1.0,4 Katlı,Soba,"Kuzey, Doğu",Kiracılı
104770-7254,1 + 1,1.0,6 Katlı,Kombi,"Güney, Doğu",Boş
110641-26,1 + 1,1.0,4 Katlı,Kombi,Doğu,Kiracılı
90050-841,1 + 0,1.0,3 Katlı,Merkezi,Güney,Kiracılı
156432-4,2 + 1,1.0,4 Katlı,Soba,"Güney, Batı",Boş
15694-3471,3 + 1,1.0,4 Katlı,Kombi,Doğu,
110589-1348,1 + 1,1.0,10 Katlı,Merkezi,"Kuzey, Güney, Doğu, Batı",Boş
37307-654,2 + 1,2.0,5 Katlı,Kombi,"Kuzey, Doğu, Batı",Boş
