il,ilce,skor,Kademe
İstanbul,Şişli,6.959,1. Kademe
Ankara,Çankaya,6.901,1. Kademe
İstanbul,Beşiktaş,5.94,1. Kademe
İstanbul,Kadıköy,4.91,1. Kademe
Ankara,Yenimahalle,4.481,1. Kademe
İstanbul,Bakırköy,4.465,1. Kademe
İstanbul,Fatih,4.226,1. Kademe
Bursa,Nilüfer,4.072,1. Kademe
İstanbul,Ataşehir,3.545,1. Kademe
İstanbul,Başakşehir,3.468,1. Kademe
İzmir,Konak,3.465,1. Kademe
İstanbul,Beyoğlu,3.394,1. Kademe
İstanbul,Ümraniye,3.364,1. Kademe
İstanbul,Sarıyer,3.249,1. Kademe
Antalya,Muratpaşa,3.173,1. Kademe
İstanbul,Üsküdar,3.045,1. Kademe
İzmir,Bornova,3.028,1. Kademe
İzmir,Balçova,2.902,1. Kademe
İstanbul,Tuzla,2.73,1. Kademe
İstanbul,Maltepe,2.685,1. Kademe
Konya,Selçuklu,2.562,1. Kademe
Ankara,Altındağ,2.528,1. Kademe
İstanbul,Beylikdüzü,2.503,1. Kademe
İstanbul,Pendik,2.485,1. Kademe
Muğla,Bodrum,2.483,1. Kademe
İstanbul,Esenyurt,2.479,1. Kademe
Antalya,Konyaaltı,2.465,1. Kademe
İstanbul,Bahçelievler,2.423,1. Kademe
İstanbul,Zeytinburnu,2.382,1. Kademe
Denizli,Merkezefendi,2.375,1. Kademe
Gaziantep,Şehitkamil,2.375,1. Kademe
Bursa,Osmangazi,2.374,1. Kademe
İstanbul,Bağcılar,2.346,1. Kademe
Kocaeli,Gebze,2.334,1. Kademe
İstanbul,Kartal,2.321,1. Kademe
İstanbul,Bayrampaşa,2.266,1. Kademe
İzmir,Karşıyaka,2.222,1. Kademe
İstanbul,Kağıthane,2.174,1. Kademe
İstanbul,Küçükçekmece,2.161,1. Kademe
Edirne,Merkez,2.113,1. Kademe
İzmir,Çiğli,2.046,1. Kademe
Adana,Seyhan,2.043,1. Kademe
İzmir,Gaziemir,2.031,1. Kademe
Kocaeli,İzmit,2.023,1. Kademe
İzmir,Çeşme,1.998,1. Kademe
Kayseri,Melikgazi,1.983,1. Kademe
Ankara,Etimesgut,1.957,1. Kademe
Eskişehir,Odunpazarı,1.95,1. Kademe
Mersin,Yenişehir,1.948,1. Kademe
İstanbul,Güngören,1.92,1. Kademe
İstanbul,Büyükçekmece,1.891,1. Kademe
İzmir,Güzelbahçe,1.882,1. Kademe
Çanakkale,Merkez,1.846,1. Kademe
İstanbul,Eyüpsultan,1.839,1. Kademe
İstanbul,Adalar,1.822,1. Kademe
Trabzon,Ortahisar,1.807,1. Kademe
Ankara,Gölbaşı,1.79,1. Kademe
Kırıkkale,Yahşihan,1.778,1. Kademe
İzmir,Urla,1.768,1. Kademe
Samsun,Atakum,1.734,1. Kademe
İstanbul,Beykoz,1.732,1. Kademe
Erzurum,Yakutiye,1.688,1. Kademe
Çanakkale,Bozcaada,1.677,1. Kademe
Antalya,Alanya,1.676,1. Kademe
Muğla,Marmaris,1.671,1. Kademe
İstanbul,Avcılar,1.64,1. Kademe
İzmir,Narlıdere,1.632,1. Kademe
Manisa,Yunusemre,1.581,2. Kademe
Tekirdağ,Çorlu,1.577,2. Kademe
Kocaeli,Başiskele,1.562,2. Kademe
Kayseri,Kocasinan,1.558,2. Kademe
Muğla,Menteşe,1.555,2. Kademe
Isparta,Merkez,1.551,2. Kademe
Antalya,Manavgat,1.538,2. Kademe
Ankara,Kahramankazan,1.538,2. Kademe
Adana,Çukurova,1.529,2. Kademe
Sakarya,Serdivan,1.527,2. Kademe
Muğla,Fethiye,1.522,2. Kademe
Aydın,Efeler,1.518,2. Kademe
Antalya,Kemer,1.501,2. Kademe
Aydın,Kuşadası,1.495,2. Kademe
Konya,Karatay,1.481,2. Kademe
Bolu,Merkez,1.48,2. Kademe
Eskişehir,Tepebaşı,1.477,2. Kademe
İstanbul,Gaziosmanpaşa,1.46,2. Kademe
İstanbul,Çekmeköy,1.45,2. Kademe
Sakarya,Adapazarı,1.392,2. Kademe
Antalya,Kepez,1.392,2. Kademe
Ankara,Keçiören,1.365,2. Kademe
İstanbul,Esenler,1.354,2. Kademe
Samsun,İlkadım,1.343,2. Kademe
İzmir,Bayraklı,1.322,2. Kademe
Tekirdağ,Süleymanpaşa,1.314,2. Kademe
İstanbul,Silivri,1.312,2. Kademe
İstanbul,Sancaktepe,1.275,2. Kademe
Balıkesir,Altıeylül,1.245,2. Kademe
Kütahya,Merkez,1.23,2. Kademe
Denizli,Pamukkale,1.227,2. Kademe
İzmir,Buca,1.227,2. Kademe
Antalya,Döşemealtı,1.216,2. Kademe
Uşak,Merkez,1.204,2. Kademe
Zonguldak,Merkez,1.189,2. Kademe
Mersin,Akdeniz,1.183,2. Kademe
Afyonkarahisar,Merkez,1.178,2. Kademe
İzmir,Aliağa,1.154,2. Kademe
Sakarya,Arifiye,1.148,2. Kademe
Mersin,Mezitli,1.147,2. Kademe
Hatay,Antakya,1.146,2. Kademe
Giresun,Merkez,1.145,2. Kademe
Sivas,Merkez,1.138,2. Kademe
Yalova,Merkez,1.137,2. Kademe
Elazığ,Merkez,1.135,2. Kademe
Ordu,Altınordu,1.121,2. Kademe
Kırklareli,Lüleburgaz,1.12,2. Kademe
Balıkesir,Karesi,1.108,2. Kademe
Bursa,Yıldırım,1.085,2. Kademe
Tunceli,Merkez,1.084,2. Kademe
Nevşehir,Merkez,1.082,2. Kademe
Rize,Merkez,1.079,2. Kademe
İzmir,Karabağlar,1.078,2. Kademe
Balıkesir,Edremit,1.072,2. Kademe
Balıkesir,Bandırma,1.072,2. Kademe
Hatay,İskenderun,1.056,2. Kademe
Konya,Meram,1.053,2. Kademe
Ankara,Sincan,1.05,2. Kademe
Bursa,Mudanya,1.037,2. Kademe
Tekirdağ,Çerkezköy,1.034,2. Kademe
Düzce,Merkez,1.032,2. Kademe
Çorum,Merkez,1.026,2. Kademe
Malatya,Yeşilyurt,1.023,2. Kademe
Bursa,İnegöl,1.018,2. Kademe
Tokat,Merkez,1.015,2. Kademe
İzmir,Kemalpaşa,0.983,2. Kademe
Kayseri,Hacılar,0.963,2. Kademe
Kocaeli,Çayırova,0.962,2. Kademe
Karabük,Merkez,0.962,2. Kademe
Aksaray,Merkez,0.96,2. Kademe
İzmir,Torbalı,0.927,2. Kademe
İzmir,Seferihisar,0.924,2. Kademe
Muğla,Datça,0.923,2. Kademe
Sinop,Merkez,0.917,2. Kademe
Burdur,Merkez,0.917,2. Kademe
Artvin,Merkez,0.913,2. Kademe
Balıkesir,Ayvalık,0.907,2. Kademe
İzmir,Menderes,0.903,2. Kademe
Kastamonu,Merkez,0.892,2. Kademe
